<<<<<<< aa674a756c31616686e87b608e54c52b8c79e9a3
version https://git-lfs.github.com/spec/v1
oid sha256:b046b087bfcb1afff4003a3abaca7f4a214c565b0dcdac17055a94fd58c1fab6
size 100566
=======
>>>>>>> Round = 1
[INFO] START SMOTE algo with rate = 4 for 1215 samples
[INFO] DONE SMOTE algo, generate more 4860
# Tuning hyper-parameters for f1
()
Fitting 3 folds for each of 140 candidates, totalling 420 fits
Best parameters set found on development set of optimizing f1:
()
{'kernel': 'rbf', 'C': 4, 'decision_function_shape': 'ovr', 'gamma': 0.005524271728019903, 'class_weight': {1: 8}}
0.974 (+/-0.006) for {'kernel': 'rbf', 'C': 8, 'decision_function_shape': 'ovr', 'gamma': 0.00390625, 'class_weight': 'balanced'}
0.974 (+/-0.005) for {'kernel': 'rbf', 'C': 8, 'decision_function_shape': 'ovr', 'gamma': 0.004645340292979379, 'class_weight': 'balanced'}
0.973 (+/-0.004) for {'kernel': 'rbf', 'C': 8, 'decision_function_shape': 'ovr', 'gamma': 0.005524271728019903, 'class_weight': 'balanced'}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 8, 'decision_function_shape': 'ovr', 'gamma': 0.0065695032441696445, 'class_weight': 'balanced'}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0023226701464896895, 'class_weight': {1: 1}}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0027621358640099515, 'class_weight': {1: 1}}
0.973 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0032847516220848223, 'class_weight': {1: 1}}
0.973 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.00390625, 'class_weight': {1: 1}}
0.974 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.004645340292979379, 'class_weight': {1: 1}}
0.974 (+/-0.005) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.005524271728019903, 'class_weight': {1: 1}}
0.973 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0065695032441696445, 'class_weight': {1: 1}}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0023226701464896895, 'class_weight': {1: 2}}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0027621358640099515, 'class_weight': {1: 2}}
0.974 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0032847516220848223, 'class_weight': {1: 2}}
0.974 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.00390625, 'class_weight': {1: 2}}
0.974 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.004645340292979379, 'class_weight': {1: 2}}
0.974 (+/-0.005) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.005524271728019903, 'class_weight': {1: 2}}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0065695032441696445, 'class_weight': {1: 2}}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0023226701464896895, 'class_weight': {1: 8}}
0.973 (+/-0.002) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0027621358640099515, 'class_weight': {1: 8}}
0.974 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0032847516220848223, 'class_weight': {1: 8}}
0.974 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.00390625, 'class_weight': {1: 8}}
0.974 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.004645340292979379, 'class_weight': {1: 8}}
0.974 (+/-0.005) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.005524271728019903, 'class_weight': {1: 8}}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0065695032441696445, 'class_weight': {1: 8}}
0.973 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0023226701464896895, 'class_weight': 'balanced'}
0.973 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0027621358640099515, 'class_weight': 'balanced'}
0.974 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0032847516220848223, 'class_weight': 'balanced'}
0.974 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.00390625, 'class_weight': 'balanced'}
0.974 (+/-0.004) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.004645340292979379, 'class_weight': 'balanced'}
0.974 (+/-0.005) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.005524271728019903, 'class_weight': 'balanced'}
0.973 (+/-0.003) for {'kernel': 'rbf', 'C': 16, 'decision_function_shape': 'ovr', 'gamma': 0.0065695032441696445, 'class_weight': 'balanced'}
()
Detailed classification report of optimizing f1:
()
The model is trained on the full development set.
The scores are computed on the full evaluation set.
()
             precision    recall  f1-score   support

          0       0.96      0.98      0.97      2171
          1       0.82      0.75      0.78       330

avg / total       0.94      0.95      0.94      2501

()
[[2118   53]
 [  84  246]]
>>>>>>> Add more experimental results
